Year,Month,Day,Link,Date,Priority
2013,6,,https://data.nber.org/compare/physician/2013/06/National_Downloadable_File.csv,2013-6,1
2013,9,,https://data.nber.org/compare/physician/2013/09/National_Downloadable_File.csv,2013-9,1
2014,1,,https://data.nber.org/compare/physician/2014/1/National_Downloadable_File.csv,2014-1,1
2014,1,,https://data.nber.org/compare/physician/2014/01/National_Downloadable_File.csv,2014-1,1
2014,3,,https://wayback.archive-it.org/org-551/20160104131342/http://www.medicare.gov/download/PhysicianCompare/2014/Refresh_Data_Archive_March_2014.zip,2014-3,2
2014,3,,http://www.medicare.gov/download/PhysicianCompare/2014/Refresh_Data_Archive_March_2014.zip,2014-3,1
2014,3,,https://data.nber.org/compare/physician/2014/3/National_Downloadable_File.csv,2014-3,1
2014,3,,https://data.nber.org/compare/physician/2014/03/National_Downloadable_File.csv,2014-3,1
2014,6,,https://wayback.archive-it.org/org-551/20160104131342/http://www.medicare.gov/download/PhysicianCompare/2014/Refresh_Data_Archive_June_2014.zip,2014-6,2
2014,6,,http://www.medicare.gov/download/PhysicianCompare/2014/Refresh_Data_Archive_June_2014.zip,2014-6,1
2014,6,,https://data.nber.org/compare/physician/2014/6/National_Downloadable_File.csv,2014-6,1
2014,6,,https://data.nber.org/compare/physician/2014/06/National_Downloadable_File.csv,2014-6,1
2014,9,,https://wayback.archive-it.org/org-551/20160104131342/http://www.medicare.gov/download/PhysicianCompare/2014/Refresh_Data_Archive_September_2014.zip,2014-9,2
2014,9,,http://www.medicare.gov/download/PhysicianCompare/2014/Refresh_Data_Archive_September_2014.zip,2014-9,1
2014,9,,https://data.nber.org/compare/physician/2014/09/National_Downloadable_File.csv,2014-9,1
2014,9,,https://data.nber.org/compare/physician/2014/9/National_Downloadable_File.csv,2014-9,1
2014,12,,https://wayback.archive-it.org/org-551/20160104131342/http://medicare.gov/download/PhysicianCompare/2014/Refresh_Data_Archive_December_2014.zip,2014-12,2
2014,12,,http://medicare.gov/download/PhysicianCompare/2014/Refresh_Data_Archive_December_2014.zip,2014-12,1
2014,12,,https://data.nber.org/compare/physician/2014/12/National_Downloadable_File.csv,2014-12,1
2015,4,,https://data.cms.gov/provider-data/sites/default/files/archive/Doctors%20and%20clinicians/2015/doc_archive_04_2015.zip,2015-4,1
2015,4,,https://wayback.archive-it.org/org-551/20160104131342/http://medicare.gov/download/PhysicianCompare/2015/Refresh_Data_Archive_April_2015_1.zip,2015-4,2
2015,4,,http://medicare.gov/download/PhysicianCompare/2015/Refresh_Data_Archive_April_2015_1.zip,2015-4,1
2015,4,,https://data.nber.org/compare/physician/2015/4/National_Downloadable_File.csv,2015-4,1
2015,4,,https://data.nber.org/compare/physician/2015/04/National_Downloadable_File.csv,2015-4,1
2015,7,,https://data.cms.gov/provider-data/sites/default/files/archive/Doctors%20and%20clinicians/2015/doc_archive_07_2015.zip,2015-7,1
2015,7,,https://wayback.archive-it.org/org-551/20160104131342/http://medicare.gov/download/PhysicianCompare/2015/Refresh_Data_Archive_July_2015_1.zip,2015-7,2
2015,7,,http://medicare.gov/download/PhysicianCompare/2015/Refresh_Data_Archive_July_2015_1.zip,2015-7,1
2015,7,,https://data.nber.org/compare/physician/2015/07/National_Downloadable_File.csv,2015-7,1
